benchmark,run_id,agent_name,provider,model,prompt,permutation_index,match_index,seed,position,seat,opponent_1,opponent_2,opponent_3,opponent_key,victory,points,rank,winner_player,winner_agent,rounds_played,last_turn,final_points_J0,final_points_J1,final_points_J2,final_points_J3,error
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,0,285054321,0,J0,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J0,HeuristicAgent,17,turn_P0,10,2,2,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,4,285054325,0,J0,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J0,HeuristicAgent,14,turn_P0,10,2,4,3,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,284,7,284354328,3,J3,AlexPelochoJaimeAgent,TristanAgent,CrabisaAgent,AlexPelochoJaimeAgent|TristanAgent|CrabisaAgent,0,4,2,J1,TristanAgent,21,turn_P1,2,10,2,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,0,285154321,1,J1,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J1,HeuristicAgent,16,turn_P1,6,10,3,3,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,6,285054327,0,J0,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,12,1,J0,HeuristicAgent,13,turn_P0,12,2,4,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,2,285154323,1,J1,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J1,HeuristicAgent,10,turn_P1,2,10,2,3,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,9,285054330,0,J0,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J0,HeuristicAgent,12,turn_P0,10,4,4,3,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,8,285054329,0,J0,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J0,HeuristicAgent,18,turn_P0,10,2,4,6,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,0,285254321,2,J2,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J2,HeuristicAgent,6,turn_P2,3,4,10,4,
standard,heuristic_20260421_154830,HeuristicAgent,heuristic,,,285,8,285154329,1,J1,AlexPelochoJaimeAgent,TristanAgent,EdoAgent,AlexPelochoJaimeAgent|TristanAgent|EdoAgent,1,10,1,J1,HeuristicAgent,14,turn_P1,6,10,4,3,
