provider,model,prompts_available,best_prompt_by_win_rate,avg_win_rate,avg_points,avg_rank,avg_game_start_success_rate,avg_build_success_rate,avg_game_start_latency_ms,avg_build_latency_ms,avg_game_start_prompt_tokens,avg_build_prompt_tokens,avg_game_start_completion_tokens,avg_build_completion_tokens
bedrock,ai21.jamba-1-5-large-v1:0,3,strict_json,0.9861,10.196666666666667,1.0133333333333334,1.0,1.0,1129.1566666666665,1170.4066666666668,478.8666666666667,257.55333333333334,34.589999999999996,38.86666666666667
bedrock,amazon.nova-lite-v1:0,3,guided_compact,0.9861,10.32,1.0133333333333334,1.0,1.0,558.52,530.2333333333333,447.18,225.53333333333333,36.30333333333333,39.403333333333336
bedrock,mistral.mistral-small-2402-v1:0,2,strict_json,1.0,10.375,1.0,1.0,1.0,1093.85,1293.345,461.21,238.82,53.195,68.785
ollama,gemma3:1b,3,strict_json,0.5416666666666666,6.846666666666667,2.0566666666666666,0.840278,0.8081263333333333,1164.54,1041.3600000000001,470.95666666666665,258.72333333333336,34.93333333333334,30.313333333333333
ollama,llama3.2:3b,3,direct_short,0.3333333333333333,4.903333333333333,2.6533333333333333,0.986111,0.998396,1133.4266666666667,885.7666666666667,404.58333333333337,243.97333333333333,37.33,27.963333333333335
ollama,ministral-3:3b,3,strict_json,0.4305333333333333,6.776666666666666,2.026666666666667,0.6875,0.9429946666666666,1342.3533333333332,1360.2666666666667,1027.98,776.9566666666667,78.39,87.48666666666666
poligpt,phi4,3,strict_json,0.0,2.61,3.4,0.013889,1.0,282.6066666666667,871.3633333333333,120.0,212.0,8.333333333333334,42.00333333333333
poligpt,poligpt,3,strict_json,0.9861,10.07,1.0133333333333334,0.8344053333333333,0.8487383333333334,6389.303333333333,8156.163333333334,445.06,290.37666666666667,217.79333333333335,288.0833333333333
poligpt,qwen,3,guided_compact,1.0,10.223333333333333,1.0,0.951389,1.0,7301.67,6814.443333333334,445.7733333333333,230.27666666666667,1141.0666666666666,1082.65
